Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
105260;Borlänge Flygplats;Flygplatsbolag (kommun/landsting);SMHIs stationsnät;60,4294;15,5079;152;1949-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
72450;Borås;SMHI;SMHIs stationsnät;57,7607;12,9468;136;1884-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
138270;Bredbyn;SMHI;SMHIs stationsnät;63,4608;18,0592;85;1951-01-01;1995-10-01;Nej;Nej;undefined;NaN;NaN
91130;Bredviken;SMHI;SMHIs stationsnät;59,2184;11,9858;100;1957-08-01;1997-05-01;Nej;Nej;undefined;NaN;NaN
98280;Brevik;SMHI;SMHIs stationsnät;59,3500;18,2000;17;1945-01-01;1948-07-01;Nej;Nej;undefined;NaN;NaN
96640;Broddbo;SMHI;SMHIs stationsnät;59,9829;16,4634;31;1945-01-01;1949-01-01;Nej;Nej;undefined;NaN;NaN
106040;Brovallen;SMHI;SMHIs stationsnät;60,0989;16,3026;100,154;1991-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
92370;Brunsberg;SMHI;SMHIs stationsnät;59,6166;12,9833;70;1945-01-01;1967-01-01;Nej;Nej;undefined;NaN;NaN
127130;Brämön A;SMHI;SMHIs stationsnät;62,2198;17,7390;18,13;1945-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
161930;Brännbergs försöksgård;SMHI;SMHIs stationsnät;65,8000;21,2666;88;1945-01-01;1962-10-01;Nej;Nej;undefined;NaN;NaN
145450;Brännåkersfjället V;SMHI;SMHIs stationsnät;64,7507;15,8307;630;1996-04-01;1997-04-01;Nej;Nej;undefined;NaN;NaN
82640;Brålanda;SMHI;SMHIs stationsnät;58,5666;12,3666;65;1945-01-01;1971-01-01;Nej;Nej;undefined;NaN;NaN
157870;Buresjön A;SMHI;SMHIs stationsnät;65,5580;17,8554;394,05;1995-10-26;2026-02-10;Ja;Ja;undefined;NaN;NaN
78240;Buttle;SMHI;SMHIs stationsnät;57,4034;18,5297;45;1962-06-01;1983-08-01;Nej;Nej;undefined;NaN;NaN
133030;Bydalen V;SMHI;SMHIs stationsnät;63,0440;13,8907;1 000;1996-03-01;1998-06-01;Nej;Nej;undefined;NaN;NaN
150210;Bygdsiljum;SMHI;SMHIs stationsnät;64,3500;20,5000;131;1953-08-01;1970-06-01;Nej;Nej;undefined;NaN;NaN
84620;Bällefors;SMHI;SMHIs stationsnät;58,5833;14,1166;90;1949-07-01;1964-12-01;Nej;Nej;undefined;NaN;NaN
62600;Båstad;SMHI;SMHIs stationsnät;56,4500;12,7974;9;1945-01-01;1956-03-01;Nej;Nej;undefined;NaN;NaN
136610;Bölestrand;SMHI;SMHIs stationsnät;63,1333;16,1500;220;1951-01-01;1965-04-01;Nej;Nej;undefined;NaN;NaN
123460;Börtnan A;SMHI;SMHIs stationsnät;62,7548;13,8427;467,246;1995-12-15;2026-02-10;Ja;Ja;undefined;NaN;NaN
94390;Daglösen A;SMHI;SMHIs stationsnät;59,6612;14,1803;133,077;1995-08-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
115630;Dalfors;SMHI;SMHIs stationsnät;61,2139;15,4083;236;1945-01-01;1947-11-01;Nej;Nej;undefined;NaN;NaN
160600;Dalliden;SMHI;SMHIs stationsnät;65,0157;20,3127;330;1945-01-01;1949-02-01;Nej;Nej;undefined;NaN;NaN
73430;Dalsjöfors;SMHI;SMHIs stationsnät;57,7220;13,1238;257;1959-05-01;1978-11-01;Nej;Nej;undefined;NaN;NaN
115040;Dalstuga;SMHI;SMHIs stationsnät;61,0666;15,7000;240;1970-09-01;1977-10-01;Nej;Nej;undefined;NaN;NaN
156850;Danasjö;SMHI;SMHIs stationsnät;65,5374;16,5393;652;1978-06-01;2002-08-01;Nej;Nej;undefined;NaN;NaN
107120;Dannemora;SMHI;SMHIs stationsnät;60,2026;17,9049;41;1963-03-01;1981-06-01;Nej;Nej;undefined;NaN;NaN
94140;Degerfors;SMHI;SMHIs stationsnät;59,2333;14,4500;85;1945-01-01;1977-01-01;Nej;Nej;undefined;NaN;NaN
116480;Delsbo;SMHI;SMHIs stationsnät;61,7854;16,5505;88;1878-01-01;1995-12-01;Nej;Nej;undefined;NaN;NaN
116490;Delsbo A;SMHI;SMHIs stationsnät;61,8264;16,5385;70,667;1995-12-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
156770;Dikanäs;SMHI;SMHIs stationsnät;65,2337;16,0018;484;1951-01-01;2011-08-01;Nej;Nej;undefined;NaN;NaN
156790;Dikanäs Skansnäs;SMHI;SMHIs stationsnät;65,3235;16,0353;525;1983-08-01;2000-03-14;Nej;Nej;undefined;NaN;NaN
81320;Dingle;SMHI;SMHIs stationsnät;58,5289;11,5724;20;1945-01-01;2002-11-01;Nej;Nej;undefined;NaN;NaN
91370;Djurskog;SMHI;SMHIs stationsnät;59,6072;11,9321;280;1967-12-01;2002-07-01;Nej;Nej;undefined;NaN;NaN
105640;Domnarvet;SMHI;SMHIs stationsnät;60,5000;15,4500;128;1961-05-01;1968-01-01;Nej;Nej;undefined;NaN;NaN
75120;Drageryd;SMHI;SMHIs stationsnät;57,2001;15,9666;77;1977-12-01;2012-02-01;Nej;Nej;undefined;NaN;NaN
123060;Dravagen A;SMHI;SMHIs stationsnät;62,0936;13,6086;566,642;1995-10-26;2026-02-10;Ja;Ja;undefined;NaN;NaN
96120;Dunker;SMHI;SMHIs stationsnät;59,1469;16,8536;35;1974-11-01;1995-03-01;Nej;Nej;undefined;NaN;NaN
132240;Duved;SMHI;SMHIs stationsnät;63,4000;12,9333;385;1930-01-01;1980-01-01;Nej;Nej;undefined;NaN;NaN
116240;Dönje;SMHI;SMHIs stationsnät;61,3950;16,4145;85;1969-02-01;1995-07-01;Nej;Nej;undefined;NaN;NaN
103050;Edebäck;SMHI;SMHIs stationsnät;60,0666;13,5500;155;1931-01-01;1977-07-01;Nej;Nej;undefined;NaN;NaN
132590;Edevik;SMHI;SMHIs stationsnät;63,9801;12,8687;412;1980-07-01;2026-02-01;Nej;Nej;undefined;NaN;NaN
115230;Edsbyn;SMHI;SMHIs stationsnät;61,3784;15,8352;161;1942-10-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
115220;Edsbyn A;SMHI;SMHIs stationsnät;61,3607;15,7144;183,648;1995-09-19;2026-02-10;Ja;Ja;undefined;NaN;NaN
107440;Eggegrund A;SMHI;SMHIs stationsnät;60,7298;17,5584;3,731;1937-04-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
53710;Ekebo;SMHI;SMHIs stationsnät;55,9500;13,1333;80;1945-01-01;1967-06-01;Nej;Nej;undefined;NaN;NaN
64330;Ekefors;SMHI;SMHIs stationsnät;56,5546;14,7571;145;1921-07-01;1990-01-01;Nej;Nej;undefined;NaN;NaN
